V(grid)	V(plate)
-9.090293e+00	4.049389e+02
-9.043418e+00	4.049389e+02
-8.996543e+00	4.049389e+02
-8.949668e+00	4.049388e+02
-8.902793e+00	4.049388e+02
-8.855918e+00	4.049387e+02
-8.809043e+00	4.049386e+02
-8.762168e+00	4.049385e+02
-8.715293e+00	4.049384e+02
-8.668418e+00	4.049383e+02
-8.621543e+00	4.049382e+02
-8.574668e+00	4.049380e+02
-8.527793e+00	4.049379e+02
-8.480918e+00	4.049377e+02
-8.434043e+00	4.049375e+02
-8.387168e+00	4.049373e+02
-8.340293e+00	4.049370e+02
-8.293418e+00	4.049368e+02
-8.246543e+00	4.049364e+02
-8.199668e+00	4.049360e+02
-8.152793e+00	4.049356e+02
-8.105918e+00	4.049352e+02
-8.059043e+00	4.049346e+02
-8.012168e+00	4.049340e+02
-7.965293e+00	4.049333e+02
-7.918418e+00	4.049326e+02
-7.871543e+00	4.049317e+02
-7.824668e+00	4.049307e+02
-7.777793e+00	4.049296e+02
-7.730918e+00	4.049283e+02
-7.684043e+00	4.049269e+02
-7.637168e+00	4.049253e+02
-7.590293e+00	4.049235e+02
-7.543418e+00	4.049214e+02
-7.496543e+00	4.049191e+02
-7.449668e+00	4.049165e+02
-7.402793e+00	4.049135e+02
-7.355918e+00	4.049102e+02
-7.309043e+00	4.049064e+02
-7.262168e+00	4.049022e+02
-7.215293e+00	4.048973e+02
-7.168418e+00	4.048919e+02
-7.121543e+00	4.048858e+02
-7.074668e+00	4.048788e+02
-7.027793e+00	4.048710e+02
-6.980918e+00	4.048622e+02
-6.934043e+00	4.048522e+02
-6.887168e+00	4.048410e+02
-6.840293e+00	4.048283e+02
-6.793418e+00	4.048140e+02
-6.746543e+00	4.047979e+02
-6.699668e+00	4.047797e+02
-6.652793e+00	4.047592e+02
-6.605918e+00	4.047361e+02
-6.559043e+00	4.047101e+02
-6.512168e+00	4.046808e+02
-6.465293e+00	4.046479e+02
-6.418418e+00	4.046108e+02
-6.371543e+00	4.045692e+02
-6.324668e+00	4.045224e+02
-6.277793e+00	4.044698e+02
-6.230918e+00	4.044109e+02
-6.184043e+00	4.043448e+02
-6.137168e+00	4.042708e+02
-6.090293e+00	4.041879e+02
-6.043418e+00	4.040952e+02
-5.996543e+00	4.039917e+02
-5.949668e+00	4.038762e+02
-5.902793e+00	4.037475e+02
-5.855918e+00	4.036043e+02
-5.809043e+00	4.034453e+02
-5.762168e+00	4.032688e+02
-5.715293e+00	4.030734e+02
-5.668418e+00	4.028573e+02
-5.621543e+00	4.026190e+02
-5.574668e+00	4.023565e+02
-5.527793e+00	4.020682e+02
-5.480918e+00	4.017521e+02
-5.434043e+00	4.014065e+02
-5.387168e+00	4.010294e+02
-5.340293e+00	4.006191e+02
-5.293418e+00	4.001739e+02
-5.246543e+00	3.996920e+02
-5.199668e+00	3.991720e+02
-5.152793e+00	3.986123e+02
-5.105918e+00	3.980117e+02
-5.059043e+00	3.973690e+02
-5.012168e+00	3.966833e+02
-4.965293e+00	3.959538e+02
-4.918418e+00	3.951798e+02
-4.871543e+00	3.943611e+02
-4.824668e+00	3.934974e+02
-4.777793e+00	3.925888e+02
-4.730918e+00	3.916353e+02
-4.684043e+00	3.906375e+02
-4.637168e+00	3.895958e+02
-4.590293e+00	3.885110e+02
-4.543418e+00	3.873838e+02
-4.496543e+00	3.862152e+02
-4.449668e+00	3.850063e+02
-4.402793e+00	3.837638e+02
-4.355918e+00	3.824886e+02
-4.309043e+00	3.811709e+02
-4.262168e+00	3.798121e+02
-4.215293e+00	3.784193e+02
-4.168418e+00	3.769939e+02
-4.121543e+00	3.755372e+02
-4.074668e+00	3.740506e+02
-4.027793e+00	3.725355e+02
-3.980918e+00	3.709933e+02
-3.934043e+00	3.694252e+02
-3.887168e+00	3.678326e+02
-3.840293e+00	3.662168e+02
-3.793418e+00	3.645789e+02
-3.746543e+00	3.629200e+02
-3.699668e+00	3.612415e+02
-3.652793e+00	3.595443e+02
-3.605918e+00	3.578294e+02
-3.559043e+00	3.560980e+02
-3.512168e+00	3.543508e+02
